,City Name,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,richards bay,-28.78,32.04,70.56,78,19,17.54,ZA,1602812551
1,sisimiut,66.94,-53.67,39.6,70,100,9.06,GL,1602812491
2,sorong,-0.88,131.25,83.46,70,99,4.7,ID,1602812652
3,jamestown,42.1,-79.24,46.99,93,90,10.29,US,1602812653
4,yellowknife,62.46,-114.35,26.01,73,75,20.8,CA,1602812654
5,carnarvon,-24.87,113.63,71.6,64,0,20.8,AU,1602812655
6,east london,-33.02,27.91,64.08,77,13,10.92,ZA,1602812544
7,kushima,31.46,131.23,71.6,60,75,6.93,JP,1602812658
8,marsa matruh,31.35,27.25,64.4,77,0,2.33,EG,1602812659
9,vila velha,-20.33,-40.29,75.99,78,90,12.75,BR,1602812660
10,cape town,-33.93,18.42,60.01,67,100,11.41,ZA,1602812418
11,cabo san lucas,22.89,-109.91,86.0,78,5,10.29,MX,1602812433
12,arraial do cabo,-22.97,-42.03,71.24,88,87,12.82,BR,1602812663
13,necochea,-38.55,-58.74,53.01,95,0,8.01,AR,1602812664
14,dikson,73.51,80.55,31.42,95,89,16.93,RU,1602812445
15,gat,31.61,34.76,73.0,75,51,3.89,IL,1602812664
16,rikitea,-23.12,-134.97,74.34,76,100,15.12,PF,1602812668
17,kushiro,42.98,144.37,53.6,60,20,9.17,JP,1602812598
18,saskylakh,71.92,114.08,18.39,96,100,11.81,RU,1602812670
19,pochutla,15.74,-96.47,79.0,84,100,3.0,MX,1602812671
20,ushuaia,-54.8,-68.3,39.2,93,75,4.7,AR,1602812672
21,maniitsoq,65.42,-52.9,39.69,73,100,20.13,GL,1602812673
22,atuona,-9.8,-139.03,78.78,75,1,19.82,PF,1602812675
23,busselton,-33.65,115.33,66.99,42,65,7.02,AU,1602812676
24,tadine,-21.55,167.88,73.63,73,100,8.77,NC,1602812677
25,hami,42.8,93.45,51.1,38,0,4.88,CN,1602812678
26,evensk,61.95,159.23,36.81,88,100,5.97,RU,1602812679
27,nong khai,17.92,103.08,81.0,100,75,6.93,TH,1602812680
28,ordu,40.91,37.68,62.6,100,40,1.12,TR,1602812681
29,mataura,-46.19,168.86,57.99,54,100,15.99,NZ,1602812683
30,ribeira grande,38.52,-28.7,69.15,84,94,14.9,PT,1602812685
31,sokolo,14.73,-6.12,84.52,29,97,5.77,ML,1602812686
32,puerto escondido,15.85,-97.07,82.4,69,75,8.05,MX,1602812687
33,tuatapere,-46.13,167.68,57.99,54,100,15.99,NZ,1602812404
34,mount gambier,-37.83,140.77,57.2,62,75,17.22,AU,1602812689
35,kendari,-3.94,122.5,88.43,51,98,3.44,ID,1602812690
36,nieuw amsterdam,5.88,-55.08,82.0,87,53,3.0,SR,1602812691
37,mawlaik,23.63,94.42,83.55,62,0,1.57,MM,1602812693
38,bredasdorp,-34.53,20.04,48.2,93,100,4.7,ZA,1602812694
39,chuy,-33.7,-53.46,57.79,90,100,7.38,UY,1602812695
40,kaspiysk,42.88,47.64,48.2,81,74,4.47,RU,1602812696
41,nanortalik,60.14,-45.24,40.32,70,100,5.19,GL,1602812444
42,faanui,-16.48,-151.75,79.77,76,0,9.55,PF,1602812523
43,upernavik,72.79,-56.15,29.05,86,89,3.78,GL,1602812434
44,la ronge,55.1,-105.28,24.8,58,90,14.99,CA,1602812700
45,oga,46.46,10.35,39.99,100,75,1.12,IT,1602812702
46,olinda,-8.01,-34.86,80.6,69,75,6.93,BR,1602812441
47,kaitangata,-46.28,169.85,60.01,41,100,3.0,NZ,1602812439
48,mar del plata,-38.0,-57.56,55.99,100,90,10.29,AR,1602812692
49,sao paulo de olivenca,-3.38,-68.87,74.25,95,90,2.55,BR,1602812706
50,buraydah,26.33,43.98,64.4,42,0,3.36,SA,1602812708
51,harindanga,22.04,88.32,82.4,94,16,5.26,IN,1602812709
52,port alfred,-33.59,26.89,61.47,83,64,7.63,ZA,1602812535
53,nikolskoye,59.7,30.79,39.0,86,75,8.95,RU,1602812711
54,cherskiy,68.75,161.3,35.15,85,18,3.15,RU,1602812689
55,kruisfontein,-34.0,24.73,55.99,95,100,1.01,ZA,1602812715
56,albany,42.6,-73.97,64.99,67,86,3.29,US,1602812716
57,chokurdakh,70.63,147.92,30.76,99,100,11.01,RU,1602812717
58,qaanaaq,77.48,-69.36,24.26,83,29,6.46,GL,1602812718
59,pangai,-19.8,-174.35,80.6,69,75,12.75,TO,1602812720
60,iqaluit,63.75,-68.51,35.01,100,90,4.7,CA,1602812721
61,manjacaze,-24.71,33.88,63.05,85,0,7.99,MZ,1602812531
62,makow mazowiecki,52.86,21.1,44.01,99,12,1.99,PL,1602812724
63,lompoc,34.64,-120.46,78.01,44,1,5.28,US,1602812726
64,batesville,35.77,-91.64,59.0,62,20,3.83,US,1602812727
65,eganville,45.53,-77.1,50.0,71,20,5.82,CA,1602812728
66,tiksi,71.69,128.87,24.01,97,96,4.03,RU,1602812621
67,pong,19.15,100.28,77.0,94,75,1.12,TH,1602812730
68,petropavlovsk-kamchatskiy,53.05,158.65,46.4,52,75,4.47,RU,1602812731
69,vostok,46.49,135.88,37.76,67,0,11.52,RU,1602812660
70,airai,-8.93,125.41,80.11,36,99,2.62,TL,1602812734
71,labuhan,-6.88,112.21,86.32,61,46,8.57,ID,1602812735
72,lebu,-37.62,-73.65,50.79,81,0,12.95,CL,1602812736
73,port augusta,-32.5,137.77,77.0,88,40,4.7,AU,1602812738
74,barstow,34.9,-117.02,87.8,11,1,3.36,US,1602812738
75,miri,4.41,114.01,82.4,78,40,5.82,MY,1602812741
76,punta arenas,-53.15,-70.92,44.6,75,16,24.16,CL,1602812742
77,geraldton,-28.77,114.6,68.0,60,36,10.29,AU,1602812743
78,aasiaat,68.71,-52.87,34.03,86,100,10.69,GL,1602812744
79,vaini,-21.2,-175.2,78.8,83,75,9.17,TO,1602812745
80,fairlie,55.76,-4.86,44.6,81,90,4.7,GB,1602812747
81,avarua,-21.21,-159.78,75.2,53,100,6.93,CK,1602812748
82,vardo,70.37,31.11,37.33,80,100,20.36,NO,1602812524
83,bontang,0.13,117.5,82.6,75,100,0.4,ID,1602812489
84,dombarovskiy,50.76,59.54,51.26,44,100,10.87,RU,1602812752
85,hobart,-42.88,147.33,53.01,45,75,4.7,AU,1602812562
86,khatanga,71.97,102.5,3.36,94,35,8.08,RU,1602812755
87,bluff,-46.6,168.33,57.99,54,100,15.99,NZ,1602812756
88,pevek,69.7,170.31,36.34,85,100,14.67,RU,1602812757
89,cap malheureux,-19.98,57.61,71.01,80,1,1.99,MU,1602812758
90,hualmay,-11.1,-77.61,62.96,81,27,4.85,PE,1602812759
91,hermanus,-34.42,19.23,57.99,84,99,5.99,ZA,1602812760
92,stralsund,54.31,13.08,50.0,79,75,1.01,DE,1602812762
93,yerbogachen,61.28,108.01,23.88,88,2,13.6,RU,1602812763
94,namatanai,-3.67,152.43,84.83,68,84,5.93,PG,1602812764
95,dingle,11.0,122.67,80.22,84,100,6.67,PH,1602812647
96,buluang,13.31,123.34,85.21,68,93,1.79,PH,1602812766
97,mobaye,4.32,21.18,70.66,95,100,1.79,CF,1602812767
98,aykhal,66.0,111.5,14.0,85,0,8.95,RU,1602812768
99,sioux lookout,50.1,-91.92,32.0,88,75,12.75,CA,1602812770
100,borazjan,29.27,51.22,65.01,58,0,2.1,IR,1602812771
101,praxedis guerrero,31.37,-106.02,77.0,17,40,9.17,MX,1602812773
102,aquiraz,-3.9,-38.39,80.6,78,40,12.75,BR,1602812774
103,sitka,57.05,-135.33,48.2,61,90,10.29,US,1602812775
104,grand gaube,-20.01,57.66,71.01,80,0,1.99,MU,1602812627
105,kushnarenkovo,55.1,55.35,53.6,46,90,15.66,RU,1602812778
106,cascais,38.7,-9.42,57.0,93,0,13.82,PT,1602812619
107,rochegda,62.8,43.25,32.77,96,100,4.72,RU,1602812780
108,fort nelson,58.81,-122.7,28.4,86,75,3.36,CA,1602812702
109,kulhudhuffushi,6.62,73.07,82.11,74,98,17.05,MV,1602812782
110,tilichiki,60.47,166.1,36.28,83,100,17.47,RU,1602812783
111,luderitz,-26.65,15.16,66.51,43,0,12.57,NA,1602812784
112,shingu,33.73,135.98,68.0,56,75,6.93,JP,1602812786
113,bengkulu,-3.8,102.27,83.5,68,64,2.48,ID,1602812675
114,gewane,10.17,40.65,81.5,37,0,4.59,ET,1602812788
115,saint-philippe,-21.36,55.77,69.8,56,20,6.93,RE,1602812789
116,kaeng khoi,14.59,101.0,78.01,94,100,1.99,TH,1602812790
117,san jose,37.34,-121.89,89.6,15,20,5.82,US,1602812640
118,butaritari,3.07,172.79,82.53,73,100,11.12,KI,1602812792
119,viedma,-40.81,-63.0,61.0,58,0,1.99,AR,1602812794
120,kiel,54.32,10.13,46.4,70,66,6.93,DE,1602812795
121,emba,48.83,58.14,50.2,48,100,6.98,KZ,1602812796
122,ponta do sol,32.67,-17.1,68.0,72,40,6.93,PT,1602812797
123,esperance,-33.87,121.9,60.8,82,75,10.29,AU,1602812798
124,kavieng,-2.57,150.8,84.2,71,95,9.84,PG,1602812799
125,port lincoln,-34.73,135.87,59.41,81,100,6.98,AU,1602812645
126,sechura,-5.56,-80.82,66.76,77,4,12.77,PE,1602812803
127,alta floresta,-9.88,-56.09,81.57,49,73,3.71,BR,1602812804
128,amapa,1.0,-52.0,73.35,85,0,2.82,BR,1602812805
129,norman wells,65.28,-126.83,17.6,78,20,4.7,CA,1602812580
130,mahon,39.89,4.27,51.8,87,63,6.93,ES,1602812807
131,hamilton,39.18,-84.53,50.0,81,90,12.75,US,1602812514
132,hithadhoo,-0.6,73.08,82.49,73,100,18.95,MV,1602812809
133,new norfolk,-42.78,147.06,53.01,56,72,1.01,AU,1602812811
134,estelle,29.85,-90.11,78.01,91,12,5.88,US,1602812812
135,tura,25.52,90.22,79.86,80,0,1.88,IN,1602812814
